A1,A2
126,12
131,14
137,16
141,18
144,19
144,18
147,19
151,20
156,22
161,24
166,27
173,30
180,34
199,47
210,52
224,57
257,76
305,103
358,134
443,184
824,431
823,430
851,451
866,461
868,463
871,466
875,470
874,470
875,466
871,472
883,485
887,482
888,487
878,501
872,508
878,516
862,497
870,507
867,510
873,520
873,525
869,526
857,529
853,529
848,525
841,513
395,192
216,65
174,34
158,24
143,13
138,10
134,7
132,7
128,4
123,2
118,0
115,0
107,0
29,0
21,0
21,0
20,0
19,0
18,0
18,0
17,0
17,0
17,0
17,0
17,0
16,0
16,0
16,0
17,0
